pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
405.652,11H 51M 3.47899999999936S,13.7314,4.571656,1.4479,0.1399,1.8367419,13.713708,13.6711,38.6414,29.0755,3.3286,144.454,0,42663.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
405.315,11H 51M 4.47899999999936S,13.7314,4.571649,1.4467,0.1352,1.8366911,13.713708,13.6712,38.6415,29.0755,3.3219,144.166,0,42664.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.669,11H 51M 5.47899999999936S,13.7317,4.57165,1.4467,0.1387,1.8365384,13.714392,13.6716,38.6414,29.0754,3.3277,144.414,0,42665.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.382,11H 51M 6.47899999999936S,13.7317,4.571633,1.447,0.1419,1.8364367,13.714392,13.6717,38.6414,29.0754,3.3256,144.326,0,42666.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.424,11H 51M 7.47899999999936S,13.7317,4.571639,1.4464,0.1396,1.8365384,13.715075,13.6717,38.6414,29.0754,3.3215,144.147,0,42667.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.367,11H 51M 8.47899999999936S,13.7316,4.571625,1.4461,0.1237,1.8364876,13.713708,13.6716,38.6414,29.0754,3.3257,144.33,0,42668.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.272,11H 51M 9.47899999999936S,13.7317,4.57162,1.4466,0.1263,1.8367419,13.714392,13.6717,38.6413,29.0753,3.3275,144.408,0,42669.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.218,11H 51M 10.4789999999994S,13.7318,4.571623,1.4468,0.1298,1.8367419,13.715075,13.6718,38.6413,29.0752,3.3292,144.48,0,42670.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.053,11H 51M 11.4789999999994S,13.7318,4.571628,1.4472,0.1254,1.8364876,13.713708,13.6718,38.6414,29.0753,3.3298,144.507,0,42671.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.8,11H 51M 12.4789999999994S,13.7319,4.57163,1.4475,0.1407,1.8363858,13.715759,13.672,38.6414,29.0753,3.3338,144.68,0,42672.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.627,11H 51M 13.4789999999994S,13.732,4.571641,1.4483,0.1476,1.8364876,13.715075,13.6721,38.6415,29.0753,3.3286,144.456,0,42673.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.22,11H 51M 14.4789999999994S,13.7322,4.571641,1.4469,0.1533,1.8360805,13.713708,13.6723,38.6415,29.0753,3.3226,144.195,0,42674.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
402.789,11H 51M 15.4789999999994S,13.7325,4.571644,1.4475,0.1461,1.8365384,13.715075,13.6727,38.6414,29.0752,3.3332,144.654,0,42675.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
402.736,11H 51M 16.4789999999994S,13.7327,4.571672,1.4483,0.133,1.8366402,13.715075,13.6729,38.6414,29.0751,3.3368,144.813,0,42676.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
402.754,11H 51M 17.4789999999994S,13.7327,4.571677,1.449,0.1325,1.8363858,13.713708,13.6729,38.6415,29.0751,3.335,144.735,0,42677.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
402.4,11H 51M 18.4789999999994S,13.733,4.571693,1.4489,0.1334,1.8363858,13.714392,13.6733,38.6416,29.0752,3.3305,144.536,0,42678.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.773,11H 51M 19.4789999999994S,13.733,4.571655,1.4484,0.1332,1.8363349,13.713708,13.673400000000001,38.6414,29.075,3.3339,144.687,0,42679.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
401.159,11H 51M 20.4789999999994S,13.7329,4.571623,1.4497,0.1409,1.8363349,13.713708,13.673400000000001,38.6415,29.0751,3.3357,144.763,0,42680.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.756,11H 51M 21.4789999999994S,13.7334,4.571652,1.4486,0.1334,1.8364367,13.713708,13.6739,38.6415,29.0749,3.3219,144.166,0,42681.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
