pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
240.463,9H 12M 7.47899999999936S,14.11,4.59555,2.4285,0.1538,1.7448616,14.091464,14.0739,38.5606,28.9259,3.6462,158.26,0,33127.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
241.041,9H 12M 8.47899999999936S,14.1097,4.595797,2.4272,0.1608,1.745116,14.091464,14.0735,38.563,28.9278,3.6438,158.157,0,33128.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
241.387,9H 12M 9.47899999999936S,14.1096,4.595916,2.4255,0.1467,1.74593,14.091464,14.0733,38.564,28.9287,3.6419,158.076,0,33129.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
241.838,9H 12M 10.4789999999994S,14.1094,4.595963,2.4247,0.1615,1.7466422,14.090781,14.0731,38.5645,28.9291,3.6422,158.087,0,33130.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
242.182,9H 12M 11.4789999999994S,14.1095,4.596026,2.4241,0.1641,1.7469474,14.091464,14.0732,38.5648,28.9293,3.639,157.948,0,33131.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
242.486,9H 12M 12.4789999999994S,14.1095,4.596053,2.4225,0.1527,1.7473544,14.091464,14.0731,38.5649,28.9294,3.6367,157.849,0,33132.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
242.992,9H 12M 13.4789999999994S,14.1096,4.596105,2.4221,0.1583,1.7479649,14.091464,14.0731,38.5651,28.9295,3.6377,157.891,0,33133.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
243.697,9H 12M 14.4789999999994S,14.1095,4.596349,2.4214,0.1656,1.7481684,14.090781,14.0729,38.5672,28.9312,3.6355,157.798,0,33134.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
244.175,9H 12M 15.4789999999994S,14.1092,4.596475,2.4205,0.1577,1.7491351,14.092146,14.0725,38.5685,28.9323,3.634,157.731,0,33135.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
244.371,9H 12M 16.4789999999994S,14.1093,4.596517,2.42,0.1618,1.7491859,14.094194,14.0726,38.5687,28.9324,3.6332,157.698,0,33136.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
244.735,9H 12M 17.4789999999994S,14.1096,4.59672,2.4191,0.1695,1.7494403,14.092146,14.0728,38.5701,28.9335,3.6316,157.628,0,33137.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
245.419,9H 12M 18.4789999999994S,14.1097,4.59685,2.4188,0.1568,1.7495421,14.092146,14.0728,38.571,28.9341,3.6327,157.672,0,33138.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
246.029,9H 12M 19.4789999999994S,14.1095,4.596906,2.4184,0.1476,1.7501017,14.091464,14.0726,38.5714,28.9345,3.6303,157.57,0,33139.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
246.433,9H 12M 20.4789999999994S,14.1096,4.596942,2.4175,0.1492,1.7503052,14.090781,14.0726,38.5715,28.9346,3.6284,157.486,0,33140.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
246.672,9H 12M 21.4789999999994S,14.1095,4.59698,2.4168,0.149,1.7507632,14.092146,14.0725,38.5718,28.9349,3.6279,157.466,0,33141.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
247.136,9H 12M 22.4789999999994S,14.1093,4.59705,2.4162,0.1539,1.7507632,14.090781,14.0722,38.5724,28.9354,3.6274,157.446,0,33142.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
247.624,9H 12M 23.4789999999994S,14.1094,4.597079,2.416,0.1576,1.7510175,14.092829,14.0722,38.5724,28.9354,3.6284,157.486,0,33143.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
248.027,9H 12M 24.4789999999994S,14.1095,4.597115,2.4162,0.1613,1.7514754,14.092146,14.0722,38.5725,28.9355,3.6283,157.483,0,33144.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
248.747,9H 12M 25.4789999999994S,14.1096,4.597188,2.4155,0.1659,1.7516789,14.090781,14.0722,38.5728,28.9357,3.6257,157.369,0,33145.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
249.376,9H 12M 26.4789999999994S,14.1094,4.597241,2.4148,0.16,1.7519842,14.092146,14.0719,38.5732,28.9361,3.625,157.338,0,33146.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
249.562,9H 12M 27.4789999999994S,14.1095,4.597259,2.4143,0.1523,1.7522386,14.090781,14.072,38.5732,28.936,3.6246,157.322,0,33147.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
249.945,9H 12M 28.4789999999994S,14.1094,4.597315,2.4139,0.1526,1.752035,14.090781,14.0719,38.5736,28.9364,3.6206,157.149,0,33148.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
250.214,9H 12M 29.4789999999994S,14.1089,4.59748,2.4117,0.1729,1.7523912,14.091464,14.0714,38.5755,28.938,3.6141,156.867,0,33149.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
