pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
501.768,9H 21M 50.4789999999994S,13.8453,4.590664,2.2099,0.1336,1.8367928,13.829894,13.7701,38.6644,29.072,3.3164,143.927,0,33710.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
501.13,9H 21M 51.4789999999994S,13.8465,4.590807,2.2096,0.137,1.8370472,13.83126,13.7715,38.6647,29.072,3.3174,143.971,0,33711.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
500.035,9H 21M 52.4789999999994S,13.8514,4.591382,2.2098,0.1398,1.8368946,13.834677,13.7766,38.6657,29.0717,3.317,143.954,0,33712.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
498.891,9H 21M 53.4789999999994S,13.8577,4.592157,2.21,0.1364,1.8366911,13.833993,13.783,38.6672,29.0714,3.3191,144.041,0,33713.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
497.69,9H 21M 54.4789999999994S,13.8636,4.592805,2.2109,0.1309,1.8363349,13.842193,13.789,38.668,29.0708,3.3202,144.093,0,33714.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
496.818,9H 21M 55.4789999999994S,13.8646,4.592873,2.2117,0.1369,1.8365893,13.840826,13.7901,38.668,29.0706,3.3198,144.076,0,33715.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
495.622,9H 21M 56.4789999999994S,13.8715,4.593705,2.2113,0.141,1.8365893,13.84151,13.7972,38.6695,29.0701,3.3149,143.861,0,33716.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
494.621,9H 21M 57.4789999999994S,13.8797,4.594586,2.2108,0.1382,1.8362332,13.844926,13.8056,38.67,29.0687,3.3139,143.818,0,33717.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
493.813,9H 21M 58.4789999999994S,13.8769,4.594285,2.2108,0.1281,1.8362332,13.855858,13.8029,38.6704,29.0696,3.3152,143.874,0,33718.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
492.382,9H 21M 59.4789999999994S,13.883,4.594941,2.2114,0.1395,1.8360806,13.861324,13.8092,38.6711,29.0688,3.3182,144.003,0,33719.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
