pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.642,12H 7M 25.4789999999994S,13.4615,4.482574,3.0132,0.6488,1.554996,13.438059,13.4613,38.2459,28.8136,4.8016,208.434,0,43645.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.912,12H 7M 26.4789999999994S,13.4618,4.482633,3.0153,0.6424,1.5549451,13.439428,13.4615,38.246,28.8137,4.8057,208.61,0,43646.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.911,12H 7M 27.4789999999994S,13.4623,4.482682,3.0133,0.6459,1.554996,13.438059,13.462,38.246,28.8135,4.7984,208.297,0,43647.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.74,12H 7M 28.4789999999994S,13.464,4.48287,3.0134,0.6613,1.5550469,13.437375,13.4637,38.2462,28.8133,4.8019,208.447,0,43648.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.816,12H 7M 29.4789999999994S,13.4649,4.482967,3.0128,0.6642,1.5551995,13.43669,13.4646,38.2462,28.8131,4.7991,208.326,0,43649.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.931,12H 7M 30.4789999999994S,13.4641,4.482872,3.0126,0.6634,1.5550468,13.440796,13.4638,38.246,28.8131,4.7999,208.361,0,43650.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.675,12H 7M 31.4789999999994S,13.4646,4.482927,3.0129,0.6466,1.5550468,13.439428,13.4643,38.2461,28.8131,4.8018,208.444,0,43651.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.721,12H 7M 32.4789999999994S,13.4643,4.482883,3.0131,0.6678,1.554996,13.44285,13.4641,38.2459,28.813,4.7998,208.355,0,43652.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.125,12H 7M 33.4789999999994S,13.4626,4.482717,3.0122,0.6751,1.5551486,13.442165,13.4623,38.2459,28.8134,4.8008,208.4,0,43653.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.884,12H 7M 34.4789999999994S,13.4633,4.482789,3.0138,0.6401,1.5551995,13.442165,13.463,38.246,28.8133,4.8079,208.707,0,43654.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.536,12H 7M 35.4789999999994S,13.4627,4.482683,3.0157,0.6331,1.5551995,13.439428,13.4625,38.2458,28.8132,4.8133,208.941,0,43655.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.814,12H 7M 36.4789999999994S,13.4598,4.482387,3.0174,0.6372,1.5551486,13.438743,13.4595,38.2457,28.8138,4.8118,208.878,0,43656.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.053,12H 7M 37.4789999999994S,13.4588,4.48228,3.0166,0.6443,1.5551995,13.437375,13.4585,38.2456,28.814,4.8065,208.648,0,43657.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.812,12H 7M 38.4789999999994S,13.4577,4.482125,3.0163,0.6478,1.555403,13.437375,13.4575,38.2453,28.8139,4.8073,208.679,0,43658.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.759,12H 7M 39.4789999999994S,13.4545,4.481823,3.0153,0.652,1.5550977,13.437375,13.4543,38.2456,28.8149,4.8066,208.649,0,43659.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.866,12H 7M 40.4789999999994S,13.4574,4.482135,3.0163,0.6526,1.5551486,13.435321,13.4571,38.2456,28.8143,4.8087,208.741,0,43660.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.738,12H 7M 41.4789999999994S,13.4594,4.482381,3.0151,0.6559,1.5553012,13.435321,13.4592,38.2461,28.8142,4.7997,208.351,0,43661.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.862,12H 7M 42.4789999999994S,13.4612,4.482544,3.0131,0.6547,1.5551486,13.436006,13.4609,38.2458,28.8136,4.8001,208.369,0,43662.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.97,12H 7M 43.4789999999994S,13.4598,4.482378,3.0139,0.6464,1.5553012,13.435321,13.4595,38.2455,28.8137,4.8048,208.574,0,43663.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.837,12H 7M 44.4789999999994S,13.4606,4.482487,3.0132,0.6476,1.5550977,13.436006,13.4603,38.2459,28.8138,4.7984,208.295,0,43664.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.65,12H 7M 45.4789999999994S,13.4629,4.482719,3.0124,0.6298,1.5551995,13.438059,13.4627,38.2458,28.8133,4.7982,208.288,0,43665.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.793,12H 7M 46.4789999999994S,13.4618,4.482631,3.0123,0.6257,1.5550977,13.436006,13.4616,38.246,28.8136,4.7996,208.346,0,43666.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.057,12H 7M 47.4789999999994S,13.4615,4.482602,3.0118,0.6022,1.5549451,13.435321,13.4612,38.246,28.8137,4.7982,208.288,0,43667.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
