pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.707,9H 46M 25.4789999999994S,13.5125,4.48872,2.9334,0.5584,1.5642552,13.488698,13.5123,38.2534,28.8086,4.6325,201.093,0,35185.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.185,9H 46M 26.4789999999994S,13.5122,4.48871,2.9342,0.5463,1.5643061,13.492803,13.5119,38.2534,28.8087,4.6354,201.22,0,35186.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.651,9H 46M 27.4789999999994S,13.5124,4.488714,2.9339,0.5415,1.5644078,13.489382,13.5122,38.2534,28.8087,4.6311,201.034,0,35187.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.177,9H 46M 28.4789999999994S,13.5127,4.488716,2.9332,0.5432,1.5641535,13.49075,13.5125,38.2534,28.8086,4.6312,201.037,0,35188.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.778,9H 46M 29.4789999999994S,13.5127,4.488757,2.9336,0.5448,1.5640517,13.491435,13.5124,38.2535,28.8086,4.6332,201.124,0,35189.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.053,9H 46M 30.4789999999994S,13.5132,4.488819,2.9334,0.5402,1.5641026,13.492119,13.5129,38.2534,28.8085,4.6326,201.099,0,35190.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.55,9H 46M 31.4789999999994S,13.5135,4.488824,2.9334,0.543,1.5641026,13.492119,13.5133,38.2535,28.8084,4.6331,201.119,0,35191.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.555,9H 46M 32.4789999999994S,13.5135,4.488806,2.9342,0.5442,1.5636447,13.492803,13.5133,38.2533,28.8083,4.6352,201.21,0,35192.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.777,9H 46M 33.4789999999994S,13.513,4.488779,2.934,0.5346,1.5638482,13.493488,13.5128,38.2534,28.8085,4.6327,201.102,0,35193.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.656,9H 46M 34.4789999999994S,13.5128,4.488745,2.9337,0.5606,1.5642043,13.49554,13.5125,38.2534,28.8085,4.6321,201.076,0,35194.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
