pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
351.453,10H 1M 15.4789999999994S,13.6975,4.564838,2.2672,0.1478,1.8392348,13.680209,13.6455,38.6349,29.076,3.3873,147.003,0,36075.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
351.111,10H 1M 16.4789999999994S,13.6968,4.564717,2.2668,0.143,1.8394383,13.680893,13.6449,38.6346,29.0759,3.3866,146.973,0,36076.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
351.655,10H 1M 17.4789999999994S,13.698,4.56493,2.2661,0.1448,1.83954,13.680893,13.646,38.6351,29.076,3.3857,146.935,0,36077.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
352.75,10H 1M 18.4789999999994S,13.6973,4.564885,2.2662,0.1541,1.8393365,13.680893,13.6452,38.6349,29.076,3.3879,147.028,0,36078.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
353.561,10H 1M 19.4789999999994S,13.6959,4.564773,2.2662,0.1513,1.8390822,13.680893,13.6436,38.6349,29.0763,3.3877,147.021,0,36079.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
353.888,10H 1M 20.4789999999994S,13.6944,4.564594,2.2659,0.153,1.8398453,13.680893,13.6421,38.6347,29.0765,3.3875,147.012,0,36080.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
354.063,10H 1M 21.4789999999994S,13.694,4.564554,2.2662,0.1546,1.8393874,13.681577,13.6416,38.6346,29.0765,3.3884,147.05,0,36081.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
354.865,10H 1M 22.4789999999994S,13.6958,4.564909,2.2658,0.1618,1.8394383,13.678158,13.6433,38.6358,29.0771,3.3874,147.007,0,36082.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
356.019,10H 1M 23.4789999999994S,13.7028,4.565978,2.266,0.1703,1.8394892,13.679526,13.6501,38.6384,29.0777,3.3897,147.107,0,36083.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
356.469,10H 1M 24.4789999999994S,13.7044,4.566216,2.2666,0.1578,1.8393874,13.680893,13.6517,38.6388,29.0776,3.3903,147.134,0,36084.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
