pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
405.342,10H 0M 20.4789999999994S,13.645,4.561015,2.2093,0.1751,1.8421347,13.626875,13.5851,38.6274,29.0831,3.2888,142.726,0,36020.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
405.009,10H 0M 21.4789999999994S,13.6444,4.560884,2.2079,0.1914,1.8421347,13.626191,13.5845,38.6269,29.0828,3.2853,142.577,0,36021.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.209,10H 0M 22.4789999999994S,13.6438,4.560778,2.2077,0.2101,1.8418803,13.626875,13.5841,38.6269,29.0828,3.2887,142.724,0,36022.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.369,10H 0M 23.4789999999994S,13.6447,4.560908,2.2079,0.1989,1.8417785,13.630978,13.585,38.6271,29.0828,3.2885,142.713,0,36023.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
405.038,10H 0M 24.4789999999994S,13.6449,4.560971,2.2078,0.1961,1.8418803,13.626191,13.585,38.6273,29.083,3.2881,142.696,0,36024.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.933,10H 0M 25.4789999999994S,13.6447,4.560924,2.2078,0.1901,1.8419821,13.628927,13.5849,38.627,29.0828,3.2889,142.731,0,36025.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.588,10H 0M 26.4789999999994S,13.644,4.56082,2.2079,0.1798,1.8417277,13.62961,13.5842,38.6269,29.0828,3.2891,142.739,0,36026.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.789,10H 0M 27.4789999999994S,13.6448,4.560968,2.2084,0.1687,1.8420329,13.627559,13.585,38.6274,29.0831,3.2921,142.868,0,36027.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.822,10H 0M 28.4789999999994S,13.6447,4.560937,2.2092,0.1715,1.8417277,13.628927,13.5849,38.6272,29.083,3.2935,142.93,0,36028.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.613,10H 0M 29.4789999999994S,13.644,4.560817,2.2095,0.1737,1.8420838,13.628243,13.5842,38.6269,29.0828,3.2928,142.899,0,36029.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.707,10H 0M 30.4789999999994S,13.6444,4.560886,2.2097,0.1702,1.8417785,13.630978,13.5846,38.6271,29.0829,3.2928,142.902,0,36030.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.963,10H 0M 31.4789999999994S,13.6445,4.560933,2.2097,0.1695,1.8418803,13.62961,13.5847,38.6273,29.083,3.293,142.91,0,36031.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.93,10H 0M 32.4789999999994S,13.6442,4.560858,2.2101,0.1616,1.8417277,13.630294,13.5844,38.6269,29.0828,3.2932,142.919,0,36032.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.679,10H 0M 33.4789999999994S,13.644,4.560814,2.2092,0.1689,1.841982,13.630978,13.5842,38.6269,29.0828,3.2871,142.655,0,36033.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
