pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.301,11H 37M 50.4789999999994S,15.0323,4.623591,1.8641,0.3512,1.536223,15.01842,15.0321,38.0158,28.2921,4.4152,191.756,0,41870.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.415,11H 37M 51.4789999999994S,15.0313,4.623496,1.8642,0.3491,1.5360195,15.015017,15.0311,38.0158,28.2924,4.4177,191.868,0,41871.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.511,11H 37M 52.4789999999994S,15.0313,4.623511,1.8649,0.3535,1.5361213,15.020462,15.0311,38.0159,28.2925,4.4163,191.807,0,41872.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.641,11H 37M 53.4789999999994S,15.0314,4.62354,1.8633,0.3618,1.5359686,15.01842,15.0311,38.016,28.2925,4.4049,191.308,0,41873.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.358,11H 37M 54.4789999999994S,15.0322,4.623604,1.8628,0.3628,1.5359686,15.016378,15.032,38.0159,28.2923,4.4136,191.686,0,41874.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.23,11H 37M 55.4789999999994S,15.0316,4.62355,1.8635,0.3722,1.5362739,15.014336,15.0314,38.0161,28.2926,4.416,191.792,0,41875.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.64,11H 37M 56.4789999999994S,15.0308,4.623508,1.8637,0.3966,1.5361213,15.016378,15.0306,38.0163,28.2929,4.4135,191.683,0,41876.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.482,11H 37M 57.4789999999994S,15.0324,4.623618,1.8634,0.3804,1.5363248,15.017059,15.0322,38.0158,28.2922,4.4098,191.524,0,41877.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.151,11H 37M 58.4789999999994S,15.0359,4.62415,1.8628,0.3705,1.5358669,15.017059,15.0357,38.0175,28.2927,4.4093,191.503,0,41878.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.14,11H 37M 59.4789999999994S,15.0317,4.623672,1.8626,0.3604,1.5360704,15.01842,15.0315,38.0171,28.2933,4.4096,191.513,0,41879.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.502,11H 38M 0.47899999999936S,15.031,4.62352,1.8623,0.3557,1.5360704,15.01842,15.0308,38.0163,28.2928,4.406,191.357,0,41880.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.794,11H 38M 1.47899999999936S,15.0318,4.623587,1.8615,0.3448,1.5361213,15.012975,15.0315,38.016,28.2925,4.4056,191.339,0,41881.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.365,11H 38M 2.47899999999936S,15.0308,4.623444,1.8624,0.3471,1.5360195,15.01842,15.0306,38.0158,28.2925,4.4179,191.876,0,41882.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.117,11H 38M 3.47899999999936S,15.0413,4.624596,1.8631,0.3462,1.5361213,15.015017,15.0411,38.0163,28.2906,4.4092,191.497,0,41883.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.221,11H 38M 4.47899999999936S,15.0554,4.626164,1.8629,0.3512,1.5359686,15.01774,15.0552,38.017,28.2879,4.4128,191.654,0,41884.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.539,11H 38M 5.47899999999936S,15.0594,4.626453,1.8636,0.362,1.5361721,15.01842,15.0592,38.0156,28.286,4.4097,191.521,0,41885.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.442,11H 38M 6.47899999999936S,15.0474,4.625291,1.8626,0.3587,1.5360704,15.016378,15.0472,38.0167,28.2895,4.4048,191.305,0,41886.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.271,11H 38M 7.47899999999936S,15.0478,4.625311,1.8622,0.3481,1.5362739,15.021143,15.0476,38.0165,28.2892,4.4056,191.34,0,41887.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.338,11H 38M 8.47899999999936S,15.0528,4.625789,1.8625,0.3558,1.5361721,15.021824,15.0526,38.016,28.2877,4.4098,191.524,0,41888.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.446,11H 38M 9.47899999999936S,15.0531,4.625853,1.8619,0.3396,1.5361721,15.019782,15.0529,38.0163,28.2879,4.4022,191.194,0,41889.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.636,11H 38M 10.4789999999994S,15.0334,4.623667,1.8615,0.3425,1.5357651,15.022504,15.0331,38.0153,28.2915,4.4069,191.399,0,41890.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.217,11H 38M 11.4789999999994S,15.0278,4.623156,1.8614,0.3436,1.535816,15.029992,15.0276,38.0161,28.2934,4.4079,191.441,0,41891.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
