pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.317,10H 30M 46.4789999999994S,14.1456,4.529761,2.9521,0.3766,1.5662394,14.12218,14.1454,38.0118,28.4855,4.6159,200.435,0,37846.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.289,10H 30M 47.4789999999994S,14.1475,4.529922,2.9515,0.3642,1.5664937,14.121497,14.1473,38.0114,28.4848,4.6123,200.278,0,37847.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.378,10H 30M 48.4789999999994S,14.1488,4.530077,2.9506,0.3599,1.5664937,14.11945,14.1486,38.0115,28.4846,4.6103,200.193,0,37848.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.402,10H 30M 49.4789999999994S,14.1503,4.530256,2.95,0.3635,1.5664937,14.11945,14.1501,38.0118,28.4845,4.6087,200.125,0,37849.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.328,10H 30M 50.4789999999994S,14.1504,4.530303,2.9491,0.376,1.5662902,14.122862,14.1502,38.0121,28.4847,4.6079,200.091,0,37850.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.241,10H 30M 51.4789999999994S,14.1513,4.530468,2.9491,0.3739,1.565985,14.121497,14.1511,38.0129,28.4851,4.6084,200.112,0,37851.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.359,10H 30M 52.4789999999994S,14.1532,4.530658,2.9486,0.3681,1.566392,14.122862,14.153,38.0127,28.4845,4.6077,200.082,0,37852.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.45,10H 30M 53.4789999999994S,14.1531,4.530625,2.949,0.376,1.5664429,14.12218,14.1529,38.0125,28.4844,4.6102,200.19,0,37853.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.275,10H 30M 54.4789999999994S,14.1538,4.530734,2.9492,0.3838,1.5664429,14.123545,14.1536,38.0128,28.4845,4.6091,200.141,0,37854.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.224,10H 30M 55.4789999999994S,14.1548,4.530853,2.9491,0.3821,1.5664937,14.121497,14.1546,38.013,28.4844,4.6088,200.128,0,37855.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.419,10H 30M 56.4789999999994S,14.1591,4.531431,2.9492,0.3738,1.5662394,14.123545,14.1589,38.0141,28.4843,4.6091,200.141,0,37856.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.332,10H 30M 57.4789999999994S,14.1574,4.531244,2.9494,0.3784,1.5665955,14.122862,14.1572,38.0141,28.4847,4.6088,200.129,0,37857.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.251,10H 30M 58.4789999999994S,14.1606,4.531628,2.9488,0.3702,1.5667481,14.123545,14.1604,38.0146,28.4844,4.605,199.964,0,37858.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.389,10H 30M 59.4789999999994S,14.1588,4.531423,2.9482,0.3532,1.5665955,14.12764,14.1586,38.0144,28.4846,4.6074,200.068,0,37859.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.403,10H 31M 0.47899999999936S,14.1547,4.530879,2.949,0.3666,1.5663411,14.129688,14.1545,38.0133,28.4846,4.6093,200.149,0,37860.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.281,10H 31M 1.47899999999936S,14.1546,4.530869,2.9486,0.3831,1.5663411,14.131735,14.1544,38.0134,28.4847,4.6073,200.061,0,37861.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
