pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
382.824,14H 6M 3.47899999999936S,13.7376,4.571419,1.4332,0.1523,1.8377594,13.719177,13.6808,38.643,29.0746,3.2605,141.498,0,50763.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.07,14H 6M 4.47899999999936S,13.7376,4.571366,1.4317,0.1497,1.8378103,13.715759,13.6809,38.6429,29.0745,3.2581,141.396,0,50764.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.199,14H 6M 5.47899999999936S,13.7371,4.571246,1.431,0.1334,1.8377086,13.716442,13.6806,38.6426,29.0744,3.263,141.609,0,50765.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.234,14H 6M 6.47899999999936S,13.737,4.571229,1.4319,0.1266,1.8376577,13.719177,13.6804,38.6426,29.0744,3.2689,141.864,0,50766.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.772,14H 6M 7.47899999999936S,13.7374,4.571338,1.4319,0.1305,1.8377594,13.71781,13.6808,38.6429,29.0746,3.2644,141.667,0,50767.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.974,14H 6M 8.47899999999936S,13.7372,4.571299,1.4316,0.1436,1.8378103,13.720544,13.6805,38.6426,29.0744,3.2617,141.553,0,50768.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.044,14H 6M 9.47899999999936S,13.7372,4.571297,1.4312,0.1398,1.8377086,13.718493,13.6805,38.6426,29.0744,3.2663,141.752,0,50769.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.3,14H 6M 10.4789999999994S,13.7374,4.571354,1.4323,0.1379,1.8378103,13.718493,13.6807,38.6428,29.0745,3.2767,142.201,0,50770.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.606,14H 6M 11.4789999999994S,13.7376,4.571398,1.4341,0.1471,1.8377594,13.715759,13.6809,38.6429,29.0745,3.2815,142.413,0,50771.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.659,14H 6M 12.4789999999994S,13.7377,4.571427,1.4342,0.1422,1.8374542,13.71781,13.6809,38.6431,29.0747,3.2629,141.605,0,50772.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.125,14H 6M 13.4789999999994S,13.7374,4.571335,1.4311,0.1457,1.8376577,13.715759,13.6807,38.6427,29.0745,3.2506,141.068,0,50773.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.345,14H 6M 14.4789999999994S,13.737,4.571223,1.4311,0.1442,1.8377594,13.716442,13.6804,38.6424,29.0743,3.2679,141.82,0,50774.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.389,14H 6M 15.4789999999994S,13.7368,4.57123,1.432,0.1341,1.8375559,13.71781,13.6803,38.6426,29.0745,3.2759,142.169,0,50775.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.094,14H 6M 16.4789999999994S,13.7372,4.571311,1.434,0.1216,1.8373016,13.722595,13.6806,38.6427,29.0744,3.2737,142.072,0,50776.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.271,14H 6M 17.4789999999994S,13.7374,4.571345,1.4321,0.1327,1.8377594,13.71781,13.6807,38.6428,29.0745,3.2539,141.213,0,50777.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.849,14H 6M 18.4789999999994S,13.7371,4.571297,1.4307,0.1373,1.8373524,13.717126,13.6805,38.6428,29.0745,3.261,141.522,0,50778.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.588,14H 6M 19.4789999999994S,13.737,4.571262,1.4317,0.1328,1.8374033,13.71781,13.6804,38.6427,29.0745,3.2693,141.88,0,50779.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.155,14H 6M 20.4789999999994S,13.7373,4.571332,1.4318,0.1332,1.8377594,13.717126,13.6807,38.6428,29.0745,3.2666,141.765,0,50780.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.546,14H 6M 21.4789999999994S,13.7376,4.57139,1.4322,0.1371,1.8377086,13.717126,13.6808,38.6429,29.0746,3.2744,142.105,0,50781.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.381,14H 6M 22.4789999999994S,13.7374,4.57135,1.4339,0.1275,1.8376068,13.719177,13.6807,38.6428,29.0745,3.2786,142.284,0,50782.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.204,14H 6M 23.4789999999994S,13.7372,4.571313,1.4338,0.1231,1.8377594,13.71986,13.6805,38.6427,29.0745,3.264,141.651,0,50783.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.736,14H 6M 24.4789999999994S,13.7369,4.57125,1.4316,0.127,1.8375559,13.718493,13.6803,38.6426,29.0744,3.253,141.176,0,50784.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.116,14H 6M 25.4789999999994S,13.7367,4.571179,1.4306,0.1251,1.8372507,13.717126,13.6802,38.6424,29.0743,3.2646,141.679,0,50785.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.216,14H 6M 26.4789999999994S,13.7367,4.571191,1.4328,0.1287,1.8374033,13.719177,13.6802,38.6425,29.0744,3.2813,142.402,0,50786.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.087,14H 6M 27.4789999999994S,13.7372,4.571321,1.434,0.1299,1.8376068,13.718493,13.6806,38.6428,29.0745,3.2777,142.245,0,50787.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
382.317,14H 6M 28.4789999999994S,13.7376,4.571373,1.4337,0.1268,1.8376577,13.71781,13.6809,38.6428,29.0745,3.2652,141.704,0,50788.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
381.795,14H 6M 29.4789999999994S,13.7373,4.571292,1.4325,0.128,1.8375559,13.718493,13.6806,38.6426,29.0744,3.2623,141.579,0,50789.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
