pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
404.75,12H 21M 18.4789999999994S,13.6559,4.562621,2.2388,0.1837,1.8404558,13.637132,13.5961,38.632,29.0842,3.3535,145.536,0,44478.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.987,12H 21M 19.4789999999994S,13.6549,4.56245,2.2389,0.1838,1.8402523,13.635081,13.5951,38.6317,29.0843,3.3549,145.594,0,44479.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.579,12H 21M 20.4789999999994S,13.655,4.562438,2.2393,0.1798,1.840354,13.634397,13.5953,38.6317,29.0842,3.3556,145.623,0,44480.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.893,12H 21M 21.4789999999994S,13.6554,4.562516,2.2393,0.1861,1.8404049,13.635081,13.5957,38.6318,29.0842,3.3554,145.617,0,44481.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.474,12H 21M 22.4789999999994S,13.6555,4.562569,2.2398,0.1845,1.8404049,13.63303,13.5957,38.632,29.0844,3.3579,145.724,0,44482.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.632,12H 21M 23.4789999999994S,13.6557,4.562605,2.2401,0.1814,1.8403032,13.637816,13.5959,38.632,29.0843,3.357,145.688,0,44483.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.124,12H 21M 24.4789999999994S,13.6548,4.562435,2.2398,0.1954,1.8405067,13.635765,13.595,38.6316,29.0842,3.3532,145.52,0,44484.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
403.823,12H 21M 25.4789999999994S,13.6546,4.562406,2.2389,0.187,1.8400488,13.63303,13.5949,38.6316,29.0842,3.3523,145.483,0,44485.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.155,12H 21M 26.4789999999994S,13.6553,4.562514,2.2386,0.1912,1.8406084,13.634397,13.5955,38.6319,29.0843,3.3532,145.522,0,44486.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
404.257,12H 21M 27.4789999999994S,13.6552,4.562499,2.2389,0.1838,1.8405067,13.633713,13.5954,38.6318,29.0842,3.3551,145.602,0,44487.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
